"id";"slope"
"1.1_s";-0.116258999627343
"1.1d";0.0511631301181721
"1.2_s";-0.0196983534661774
"1.2d";-0.145392771887144
"1.3_s";-0.00953099821640339
"1.3d";-0.00200905260789471
"10.1_s";-0.185283971678081
"10.1d";0.100242508718764
"10.2_s";-0.0265508693568271
"10.2d";-0.1376940881392
"10.3d";-0.112474950945236
"11.1_s";-0.164185219422218
"11.1d";0.0232971092142332
"11.2_s";-0.0115221055696962
"11.2d";0.00523947327652072
"11.3d";-0.121020749274608
"12.1_s";-0.179224514901586
"12.1d";0.0165850352734926
"12.2_s";-0.108810692754989
"12.2d";0.000104700878438838
"12.3d";-0.0862455947978044
"13.1_s";-0.121896240654282
"13.1d";-0.0747975534961773
"13.2_s";-0.0109779565280571
"13.2d";-0.0234264314358304
"13.3d";-0.0699642981629659
"14.1_s";-0.119589902347504
"14.2_s";-0.0737613997951562
"14.2d";-0.00892612072440741
"14.3d";-0.0947629799187186
"15.1_s";-0.139355477856215
"15.1d";-0.131200879200592
"15.2_s";-0.145909313139552
"15.2d";-0.0122072990348422
"15.3d";-0.00900347276323872
"16.1_s";-0.131867413023302
"16.1d";-0.0537768537099277
"16.2_s";-0.00817741605846259
"16.2d";0.00783064818851282
"16.3d";-0.0562488645099446
"17.1_s";-0.153934288119982
"17.1d";-0.105088322704411
"17.2_s";-0.022022055401649
"17.2d";0.00726110567750887
"17.3d";-0.119093250903517
"18.1_s";-0.140101175966681
"18.1d";-0.0468574281639504
"18.2d";0.0272654443756944
"19.1_s";-0.107759192061238
"19.1d";0.0934886489666391
"19.2d";-0.00360914226819098
"2.1_s";-0.10933511397674
"2.1d";0.0341053079692312
"2.2_s";-0.134452725129258
"2.2d";-0.130568840146625
"2.3_s";-0.0447250059296968
"2.3d";0.0401350051914144
"20.1_s";-0.153768505903916
"20.1d";-0.140842439788968
"21.1_s";-0.148374173276052
"22.1_s";-0.113352271026986
"3.1_s";-0.0857388605372821
"3.1d";0.0801049468319483
"3.2_s";-0.14160931848331
"3.2d";-0.0641736381736534
"3.3_s";-0.0762936127204887
"3.3d";-0.0532100215625336
"4.1_s";-0.108681261349627
"4.1d";0.0787621074095428
"4.2_s";0.0312318749091796
"4.2d";0.00691251647658822
"4.3_s";0.0162946461517908
"4.3d";0.018496737764434
"5.1_s";-0.103967490554673
"5.1d";0.0832301607697824
"5.2_s";-0.0923710832009116
"5.2d";-0.130732586601698
"5.3_s";0.0225870057257903
"5.3d";-0.0328203530278955
"6.1_s";-0.0923484853609146
"6.1d";0.116930510844548
"6.2_s";-0.13300313451271
"6.2d";-0.0410566355767743
"6.3_s";0.0806105110203297
"6.3d";-0.074276983190599
"7.1_s";-0.0999471909409233
"7.1d";0.1224313596115
"7.2_s";-0.116614817257527
"7.2d";-0.113615242004285
"7.3_s";0.0619017724285507
"7.3d";-0.0618391041118812
"8.1d";0.0951164897132652
"8.2_s";-0.122837051370393
"8.2d";-0.118307383292787
"8.3_s";0.0378072386011542
"8.3d";0.0516467275339492
"9.1_s";-0.172239993097645
"9.1d";0.0895675636211932
"9.2_s";-0.0589866644752571
"9.2d";-0.130204444706164
"9.3d";0.0601741731119893
